"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"PharmaceuticalProdut","","","",0,*,"","","","","Pharmaceutical Product logical model","Pharmaceutical Product logical model","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"PharmaceuticalProdut.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for this medication","Business identifier for this medication","","","","","","","","","",,,,,"",,,,"PharmaceuticalProdut.identifier",0,*,"",""
"PharmaceuticalProdut.code","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Code that identifies this medication","Code that identifies this medication","","","","","","","","","",,,,,"",,,,"PharmaceuticalProdut.code",0,*,"",""
"PharmaceuticalProdut.version","","","",0,1,"","","","string {[]} {[]}
","business version of the product","business version of the product","","","","","","","","","",,,,,"",,,,"PharmaceuticalProdut.version",0,1,"",""
"PharmaceuticalProdut.regulatoryStatus","","","",0,1,"","","","string {[]} {[]}
","active non active","active non active","","","","","","","","","",,,,,"",,,,"PharmaceuticalProdut.regulatoryStatus",0,1,"",""
"PharmaceuticalProdut.domain","","","",0,1,"","","","string {[]} {[]}
","human or veterinary","human or veterinary","","","","","","","","","",,,,,"",,,,"PharmaceuticalProdut.domain",0,1,"",""
"PharmaceuticalProdut.indication","","","",0,*,"","","","CodeableConcept {[]} {[]}
","indication of the product","human or veterinary","","","","","","","","","",,,,,"",,,,"PharmaceuticalProdut.indication",0,*,"",""
"PharmaceuticalProdut.associatedCondition","","","",0,*,"","","","CodeableConcept {[]} {[]}
","associated conditions","associated conditions","","","","","","","","","",,,,,"",,,,"PharmaceuticalProdut.associatedCondition",0,*,"",""
"PharmaceuticalProdut.name","","","",1,*,"","","","BackboneElement {[]} {[]}
","Product Name","Product Name","","","","","","","","","",,,,,"",,,,"PharmaceuticalProdut.name",1,*,"",""
"PharmaceuticalProdut.name.productName","","","",1,1,"","","","string {[]} {[]}
","actual name of the product","actual name of the product","","","","","","","","","",,,,,"",,,,"PharmaceuticalProdut.name.productName",1,1,"",""
"PharmaceuticalProdut.name.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","type of naming","type of naming","","","","","","","","","",,,,,"",,,,"PharmaceuticalProdut.name.type",1,1,"",""
