"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"VirtualPackagePharmaceuticalProduct","","","",0,*,"","","","","VMPP logical model","VMPP logical model.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"VirtualPackagePharmaceuticalProduct.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for this medication","Business identifier for this medication","","","","","","","","","",,,,,"",,,,"VirtualPackagePharmaceuticalProduct.identifier",0,*,"",""
"VirtualPackagePharmaceuticalProduct.code","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Code that identifies this medication","Code that identifies this medication","","","","","","","","","",,,,,"",,,,"VirtualPackagePharmaceuticalProduct.code",0,*,"",""
"VirtualPackagePharmaceuticalProduct.version","","","",0,1,"","","","string {[]} {[]}
","business version of the product","business version of the product","","","","","","","","","",,,,,"",,,,"VirtualPackagePharmaceuticalProduct.version",0,1,"",""
"VirtualPackagePharmaceuticalProduct.regulatoryStatus","","","",0,1,"","","","string {[]} {[]}
","active non active","active non active","","","","","","","","","",,,,,"",,,,"VirtualPackagePharmaceuticalProduct.regulatoryStatus",0,1,"",""
"VirtualPackagePharmaceuticalProduct.domain","","","",0,1,"","","","string {[]} {[]}
","human or veterinary","human or veterinary","","","","","","","","","",,,,,"",,,,"VirtualPackagePharmaceuticalProduct.domain",0,1,"",""
"VirtualPackagePharmaceuticalProduct.indication","","","",0,*,"","","","CodeableConcept {[]} {[]}
","indication of the product","human or veterinary","","","","","","","","","",,,,,"",,,,"VirtualPackagePharmaceuticalProduct.indication",0,*,"",""
"VirtualPackagePharmaceuticalProduct.associatedCondition","","","",0,*,"","","","CodeableConcept {[]} {[]}
","associated conditions","associated conditions","","","","","","","","","",,,,,"",,,,"VirtualPackagePharmaceuticalProduct.associatedCondition",0,*,"",""
"VirtualPackagePharmaceuticalProduct.name","","","",1,*,"","","","BackboneElement {[]} {[]}
","Product Name","Product Name","","","","","","","","","",,,,,"",,,,"VirtualPackagePharmaceuticalProduct.name",1,*,"",""
"VirtualPackagePharmaceuticalProduct.name.productName","","","",1,1,"","","","string {[]} {[]}
","actual name of the product","actual name of the product","","","","","","","","","",,,,,"",,,,"VirtualPackagePharmaceuticalProduct.name.productName",1,1,"",""
"VirtualPackagePharmaceuticalProduct.name.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","type of naming","type of naming","","","","","","","","","",,,,,"",,,,"VirtualPackagePharmaceuticalProduct.name.type",1,1,"",""
"VirtualPackagePharmaceuticalProduct.name.namePart","","","",0,*,"","","","BackboneElement {[]} {[]}
","selecting parts of name for inteligeble purposes","selecting parts of name for inteligeble purposes","","","","","","","","","",,,,,"",,,,"VirtualPackagePharmaceuticalProduct.name.namePart",0,*,"",""
"VirtualPackagePharmaceuticalProduct.name.namePart.part","","","",1,1,"","","","string {[]} {[]}
","part of name","part of name","","","","","","","","","",,,,,"",,,,"VirtualPackagePharmaceuticalProduct.name.namePart.part",1,1,"",""
"VirtualPackagePharmaceuticalProduct.name.namePart.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","type of elemente defining -strength, pharmaceutical form, etc","type of elemente defining -strength, pharmaceutical form, etc","","","","","","","","","",,,,,"",,,,"VirtualPackagePharmaceuticalProduct.name.namePart.type",1,1,"",""
"VirtualPackagePharmaceuticalProduct.name.countryLanguage","","","",0,*,"","","","BackboneElement {[]} {[]}
","country for which country the name is defined","country for which country the name is defined","","","","","","","","","",,,,,"",,,,"VirtualPackagePharmaceuticalProduct.name.countryLanguage",0,*,"",""
"VirtualPackagePharmaceuticalProduct.name.countryLanguage.country","","","",1,1,"","","","CodeableConcept {[]} {[]}
","country","country","","","","","","","","","",,,,,"",,,,"VirtualPackagePharmaceuticalProduct.name.countryLanguage.country",1,1,"",""
"VirtualPackagePharmaceuticalProduct.name.countryLanguage.jurisdiction","","","",0,1,"","","","CodeableConcept {[]} {[]}
","jurisdiction that applies","jurisdiction that applies","","","","","","","","","",,,,,"",,,,"VirtualPackagePharmaceuticalProduct.name.countryLanguage.jurisdiction",0,1,"",""
"VirtualPackagePharmaceuticalProduct.name.countryLanguage.language","","","",1,1,"","","","CodeableConcept {[]} {[]}
","language applicable","language applicable","","","","","","","","","",,,,,"",,,,"VirtualPackagePharmaceuticalProduct.name.countryLanguage.language",1,1,"",""
"VirtualPackagePharmaceuticalProduct.granularity","","","",0,1,"","","","CodeableConcept {[]} {[]}
","level of product, substance, pharmaceutical product, medicinal product or packaged medicinal product","level of product, substance, pharmaceutical product, medicinal product or packaged medicinal product","","","","","","","","","",,,,,"",,,,"VirtualPackagePharmaceuticalProduct.granularity",0,1,"",""
"VirtualPackagePharmaceuticalProduct.kinetics","","","",0,1,"","","","BackboneElement {[]} {[]}
","pharmacokinetics information","pharmacokinetics information","","","","","","","","","",,,,,"",,,,"VirtualPackagePharmaceuticalProduct.kinetics",0,1,"",""
"VirtualPackagePharmaceuticalProduct.kinetics.areaUnderCurve","","","",0,1,"","","","BackboneElement {[]} {[]}
","auc values","auc values","","","","","","","","","",,,,,"",,,,"VirtualPackagePharmaceuticalProduct.kinetics.areaUnderCurve",0,1,"",""
