"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"MedicinalProduct","","","",0,*,"","","","","Medicinal Product logical model","Medicinal Product logical model","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"MedicinalProduct.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for this medication","Business identifier for this medication","","","","","","","","","",,,,,"",,,,"MedicinalProduct.identifier",0,*,"",""
"MedicinalProduct.code","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Code that identifies this medication","Code that identifies this medication","","","","","","","","","",,,,,"",,,,"MedicinalProduct.code",0,*,"",""
"MedicinalProduct.version","","","",0,1,"","","","string {[]} {[]}
","business version of the product","business version of the product","","","","","","","","","",,,,,"",,,,"MedicinalProduct.version",0,1,"",""
"MedicinalProduct.regulatoryStatus","","","",0,1,"","","","string {[]} {[]}
","active non active","active non active","","","","","","","","","",,,,,"",,,,"MedicinalProduct.regulatoryStatus",0,1,"",""
"MedicinalProduct.domain","","","",0,1,"","","","string {[]} {[]}
","human or veterinary","human or veterinary","","","","","","","","","",,,,,"",,,,"MedicinalProduct.domain",0,1,"",""
"MedicinalProduct.indication","","","",0,*,"","","","CodeableConcept {[]} {[]}
","indication of the product","human or veterinary","","","","","","","","","",,,,,"",,,,"MedicinalProduct.indication",0,*,"",""
"MedicinalProduct.associatedCondition","","","",0,*,"","","","CodeableConcept {[]} {[]}
","associated conditions","associated conditions","","","","","","","","","",,,,,"",,,,"MedicinalProduct.associatedCondition",0,*,"",""
"MedicinalProduct.name","","","",1,*,"","","","BackboneElement {[]} {[]}
","Product Name","Product Name","","","","","","","","","",,,,,"",,,,"MedicinalProduct.name",1,*,"",""
"MedicinalProduct.name.productName","","","",1,1,"","","","string {[]} {[]}
","actual name of the product","actual name of the product","","","","","","","","","",,,,,"",,,,"MedicinalProduct.name.productName",1,1,"",""
"MedicinalProduct.name.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","type of naming","type of naming","","","","","","","","","",,,,,"",,,,"MedicinalProduct.name.type",1,1,"",""
"MedicinalProduct.name.namePart","","","",0,*,"","","","BackboneElement {[]} {[]}
","selecting parts of name for inteligeble purposes","selecting parts of name for inteligeble purposes","","","","","","","","","",,,,,"",,,,"MedicinalProduct.name.namePart",0,*,"",""
"MedicinalProduct.name.namePart.part","","","",1,1,"","","","string {[]} {[]}
","part of name","part of name","","","","","","","","","",,,,,"",,,,"MedicinalProduct.name.namePart.part",1,1,"",""
"MedicinalProduct.name.namePart.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","type of elemente defining -strength, pharmaceutical form, etc","type of elemente defining -strength, pharmaceutical form, etc","","","","","","","","","",,,,,"",,,,"MedicinalProduct.name.namePart.type",1,1,"",""
"MedicinalProduct.name.countryLanguage","","","",0,*,"","","","BackboneElement {[]} {[]}
","country for which country the name is defined","country for which country the name is defined","","","","","","","","","",,,,,"",,,,"MedicinalProduct.name.countryLanguage",0,*,"",""
"MedicinalProduct.name.countryLanguage.country","","","",1,1,"","","","CodeableConcept {[]} {[]}
","country","country","","","","","","","","","",,,,,"",,,,"MedicinalProduct.name.countryLanguage.country",1,1,"",""
"MedicinalProduct.name.countryLanguage.jurisdiction","","","",0,1,"","","","CodeableConcept {[]} {[]}
","jurisdiction that applies","jurisdiction that applies","","","","","","","","","",,,,,"",,,,"MedicinalProduct.name.countryLanguage.jurisdiction",0,1,"",""
"MedicinalProduct.name.countryLanguage.language","","","",1,1,"","","","CodeableConcept {[]} {[]}
","language applicable","language applicable","","","","","","","","","",,,,,"",,,,"MedicinalProduct.name.countryLanguage.language",1,1,"",""
"MedicinalProduct.granularity","","","",0,1,"","","","CodeableConcept {[]} {[]}
","level of product, substance, pharmaceutical product, medicinal product or packaged medicinal product","level of product, substance, pharmaceutical product, medicinal product or packaged medicinal product","","","","","","","","","",,,,,"",,,,"MedicinalProduct.granularity",0,1,"",""
"MedicinalProduct.kinetics","","","",0,1,"","","","BackboneElement {[]} {[]}
","pharmacokinetics information","pharmacokinetics information","","","","","","","","","",,,,,"",,,,"MedicinalProduct.kinetics",0,1,"",""
"MedicinalProduct.kinetics.areaUnderCurve","","","",0,1,"","","","BackboneElement {[]} {[]}
","auc values","auc values","","","","","","","","","",,,,,"",,,,"MedicinalProduct.kinetics.areaUnderCurve",0,1,"",""
"MedicinalProduct.kinetics.areaUnderCurve.value","","","",1,1,"","","","decimal {[]} {[]}
","value of auc","value of auc","","","","","","","","","",,,,,"",,,,"MedicinalProduct.kinetics.areaUnderCurve.value",1,1,"",""
"MedicinalProduct.kinetics.areaUnderCurve.unit","","","",1,1,"","","","string {[]} {[]}
","unit of auc","unit of auc","","","","","","","","","",,,,,"",,,,"MedicinalProduct.kinetics.areaUnderCurve.unit",1,1,"",""
"MedicinalProduct.kinetics.halfLifePeriod","","","",0,1,"","","","BackboneElement {[]} {[]}
","half life period of drug","half life period of drug","","","","","","","","","",,,,,"",,,,"MedicinalProduct.kinetics.halfLifePeriod",0,1,"",""
"MedicinalProduct.kinetics.halfLifePeriod.value","","","",1,1,"","","","Extension {[CanonicalType[http://hl7.org/fhir/StructureDefinition/allergyintolerance-duration]]} {[]}
","value","value","","","","","","","","","",,,,,"",,,,"MedicinalProduct.kinetics.halfLifePeriod.value",1,1,"",""
"MedicinalProduct.kinetics.halfLifePeriod.administration","","","",1,1,"","","","BackboneElement {[]} {[]}
","administration method of the half life period","administration method of the half life period","","","","","","","","","",,,,,"",,,,"MedicinalProduct.kinetics.halfLifePeriod.administration",1,1,"",""
"MedicinalProduct.kinetics.halfLifePeriod.administration.route","","","",0,1,"","","","string {[]} {[]}
","route of administration","route of administration","","","","","","","","","",,,,,"",,,,"MedicinalProduct.kinetics.halfLifePeriod.administration.route",0,1,"",""
"MedicinalProduct.kinetics.halfLifePeriod.administration.value","","","",1,1,"","","","decimal {[]} {[]}
","quantity ","quantity ","","","","","","","","","",,,,,"",,,,"MedicinalProduct.kinetics.halfLifePeriod.administration.value",1,1,"",""
"MedicinalProduct.kinetics.halfLifePeriod.administration.unit","","","",1,1,"","","","string {[]} {[]}
","unit of quantity administered","unit of quantity administered","","","","","","","","","",,,,,"",,,,"MedicinalProduct.kinetics.halfLifePeriod.administration.unit",1,1,"",""
"MedicinalProduct.kinetics.bioavailability","","","",0,1,"","","","BackboneElement {[]} {[]}
","bioavailability of product","bioavailability of product","","","","","","","","","",,,,,"",,,,"MedicinalProduct.kinetics.bioavailability",0,1,"",""
"MedicinalProduct.kinetics.bioavailability.value","","","",1,1,"","","","decimal {[]} {[]}
","value for bioavailability","value for bioavailability","","","","","","","","","",,,,,"",,,,"MedicinalProduct.kinetics.bioavailability.value",1,1,"",""
"MedicinalProduct.kinetics.bioavailability.unit","","","",1,1,"","","","string {[]} {[]}
","unit for bioavailability","unit for bioavailability","","","","","","","","","",,,,,"",,,,"MedicinalProduct.kinetics.bioavailability.unit",1,1,"",""
