"Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"SubstanceModel","","","",0,*,"","","","","Substance logical model","Substance logical model","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"SubstanceModel.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier for this medication","Business identifier for this medication","","","","","","","","","",,,,,"",,,,"SubstanceModel.identifier",0,*,"",""
"SubstanceModel.code","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Code that identifies this medication","Code that identifies this medication","","","","","","","","","",,,,,"",,,,"SubstanceModel.code",0,*,"",""
"SubstanceModel.version","","","",0,1,"","","","string {[]} {[]}
","business version of the product","business version of the product","","","","","","","","","",,,,,"",,,,"SubstanceModel.version",0,1,"",""
"SubstanceModel.regulatoryStatus","","","",0,1,"","","","string {[]} {[]}
","active non active","active non active","","","","","","","","","",,,,,"",,,,"SubstanceModel.regulatoryStatus",0,1,"",""
"SubstanceModel.domain","","","",0,1,"","","","string {[]} {[]}
","human or veterinary","human or veterinary","","","","","","","","","",,,,,"",,,,"SubstanceModel.domain",0,1,"",""
"SubstanceModel.indication","","","",0,*,"","","","CodeableConcept {[]} {[]}
","indication of the product","human or veterinary","","","","","","","","","",,,,,"",,,,"SubstanceModel.indication",0,*,"",""
"SubstanceModel.associatedCondition","","","",0,*,"","","","CodeableConcept {[]} {[]}
","associated conditions","associated conditions","","","","","","","","","",,,,,"",,,,"SubstanceModel.associatedCondition",0,*,"",""
"SubstanceModel.name","","","",1,*,"","","","BackboneElement {[]} {[]}
","Product Name","Product Name","","","","","","","","","",,,,,"",,,,"SubstanceModel.name",1,*,"",""
"SubstanceModel.name.productName","","","",1,1,"","","","string {[]} {[]}
","actual name of the product","actual name of the product","","","","","","","","","",,,,,"",,,,"SubstanceModel.name.productName",1,1,"",""
"SubstanceModel.name.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","type of naming","type of naming","","","","","","","","","",,,,,"",,,,"SubstanceModel.name.type",1,1,"",""
"SubstanceModel.name.namePart","","","",0,*,"","","","BackboneElement {[]} {[]}
","selecting parts of name for inteligeble purposes","selecting parts of name for inteligeble purposes","","","","","","","","","",,,,,"",,,,"SubstanceModel.name.namePart",0,*,"",""
"SubstanceModel.name.namePart.part","","","",1,1,"","","","string {[]} {[]}
","part of name","part of name","","","","","","","","","",,,,,"",,,,"SubstanceModel.name.namePart.part",1,1,"",""
"SubstanceModel.name.namePart.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","type of elemente defining -strength, pharmaceutical form, etc","type of elemente defining -strength, pharmaceutical form, etc","","","","","","","","","",,,,,"",,,,"SubstanceModel.name.namePart.type",1,1,"",""
